-60.502, 0.444, 100
-59.743, -1.406, 100
-58.983, -3.256, 100
-58.223, -5.106, 100
-57.463, -6.956, 100
-56.704, -8.806, 100
-55.944, -10.656, 100
-55.184, -12.506, 100
-54.424, -14.356, 100
-53.665, -16.206, 100
-52.905, -18.056, 100
-52.145, -19.906, 100
-51.385, -21.757, 100
-50.626, -23.607, 100
-49.866, -25.457, 100
-49.106, -27.307, 100
-48.346, -29.157, 100
-47.129, -30.653, 100
-45.529, -31.853, 100
-43.929, -33.053, 100
-42.329, -34.253, 100
-40.729, -35.453, 100
-39.129, -36.653, 100
-37.529, -37.853, 100
-35.929, -39.053, 100
-34.329, -40.253, 100
-32.729, -41.453, 100
-31.129, -42.653, 100
-29.529, -43.853, 100
-27.929, -45.053, 100
-26.329, -46.253, 100
-24.729, -47.453, 100
-22.912, -48, 100
-20.912, -48, 100
-18.912, -48, 100
-16.912, -48, 100
-14.912, -48, 100
-12.912, -48, 100
-10.912, -48, 100
-8.912, -48, 100
-6.912, -48, 100
-4.912, -48, 100
-2.912, -48, 100
-0.912, -48, 100
-1.03, -48.351, 100
-2.924, -48.996, 100
-4.817, -49.641, 100
-6.71, -50.285, 100
-8.603, -50.93, 100
-10.496, -51.575, 100
-12.39, -52.22, 100
-14.283, -52.865, 100
-16.176, -53.51, 100
-18.069, -54.154, 100
-16.686, -54.693, 100
-14.755, -55.214, 100
-12.824, -55.734, 100
-10.893, -56.255, 100
-8.962, -56.776, 100
-7.031, -57.297, 100
-5.1, -57.817, 100
-3.169, -58.338, 100
-1.238, -58.859, 100
-1.397, -57.865, 100
-2.494, -56.192, 100
-3.59, -54.519, 100
-4.686, -52.846, 100
-5.783, -51.174, 100
-6.879, -49.501, 100
-7.975, -47.828, 100
-9.071, -46.155, 100
-10.168, -44.483, 100
-11.264, -42.81, 100
-12.36, -41.137, 100
-13.457, -39.464, 100
-14.553, -37.792, 100
-15.649, -36.119, 100
-16.745, -34.446, 100
-17.842, -32.773, 100
-18.938, -31.1, 100
-20.034, -29.428, 100
-21.131, -27.755, 100
-22.227, -26.082, 100
-23.323, -24.409, 100
-24.627, -24.731, 100
-26.044, -26.142, 100
-27.462, -27.554, 100
-28.879, -28.965, 100
-30.297, -30.376, 100
-31.714, -31.787, 100
-33.131, -33.198, 100
-34.549, -34.609, 100
-35.966, -36.02, 100
-37.383, -37.431, 100
-38.801, -38.842, 100
-40.218, -40.253, 100
-41.636, -41.664, 100
-43.053, -43.075, 100
-44.47, -44.486, 100
-45.888, -45.897, 100
-47.305, -47.308, 100
-48.723, -48.719, 99.97
-50.14, -50.13, 99.964
